encoder,variant,quartile,horizon,mlp_cossim_mean,copy_cossim_mean,mlp_minus_copy,n_windows
vit_s16,conditioned,Q3,2,0.884142,0.909234,-0.025092,1354
vit_s16,conditioned,Q4 (easiest),2,0.889053,0.961778,-0.072725,1355
vit_s16,conditioned,Q1 (hardest),3,0.830528,0.797755,0.032773,1355
vit_s16,conditioned,Q2,3,0.849379,0.853103,-0.003724,1355
vit_s16,conditioned,Q3,3,0.868513,0.886196,-0.017683,1354
vit_s16,conditioned,Q4 (easiest),3,0.875011,0.949021,-0.07401,1355
vit_s16,conditioned,Q1 (hardest),4,0.825167,0.782508,0.04266,1355
vit_s16,conditioned,Q2,4,0.838058,0.834091,0.003967,1355
vit_s16,conditioned,Q3,4,0.857281,0.869367,-0.012086,1354
vit_s16,conditioned,Q4 (easiest),4,0.86322,0.936661,-0.07344,1355
vit_s16,unconditioned,Q1 (hardest),1,0.849496,0.854667,-0.005171,1355
vit_s16,unconditioned,Q2,1,0.88404,0.91613,-0.03209,1355
vit_s16,unconditioned,Q3,1,0.905969,0.942666,-0.036697,1354
vit_s16,unconditioned,Q4 (easiest),1,0.903991,0.977162,-0.073171,1355
vit_s16,unconditioned,Q1 (hardest),2,0.843766,0.820977,0.022789,1355
vit_s16,unconditioned,Q2,2,0.866665,0.878419,-0.011754,1355
vit_s16,unconditioned,Q3,2,0.888512,0.909234,-0.020722,1354
vit_s16,unconditioned,Q4 (easiest),2,0.890857,0.961778,-0.070921,1355
vit_s16,unconditioned,Q1 (hardest),3,0.835496,0.797755,0.037741,1355
vit_s16,unconditioned,Q2,3,0.854374,0.853103,0.001271,1355
vit_s16,unconditioned,Q3,3,0.873618,0.886196,-0.012578,1354
vit_s16,unconditioned,Q4 (easiest),3,0.875877,0.949021,-0.073144,1355
vit_s16,unconditioned,Q1 (hardest),4,0.830782,0.782508,0.048274,1355
vit_s16,unconditioned,Q2,4,0.844123,0.834091,0.010033,1355
vit_s16,unconditioned,Q3,4,0.863784,0.869367,-0.005584,1354
vit_s16,unconditioned,Q4 (easiest),4,0.864678,0.936661,-0.071982,1355
vjepa2_rep1,conditioned,Q1 (hardest),1,0.971339,0.971762,-0.000423,1355
vjepa2_rep1,conditioned,Q2,1,0.984932,0.990298,-0.005366,1355
vjepa2_rep1,conditioned,Q3,1,0.987929,0.993849,-0.00592,1354
vjepa2_rep1,conditioned,Q4 (easiest),1,0.98845,0.996883,-0.008433,1355
vjepa2_rep1,conditioned,Q1 (hardest),2,0.965064,0.955669,0.009395,1355
vjepa2_rep1,conditioned,Q2,2,0.980249,0.982887,-0.002638,1355
vjepa2_rep1,conditioned,Q3,2,0.984166,0.988693,-0.004527,1354
vjepa2_rep1,conditioned,Q4 (easiest),2,0.985408,0.99441,-0.009002,1355
vjepa2_rep1,conditioned,Q1 (hardest),3,0.961649,0.945562,0.016086,1355
vjepa2_rep1,conditioned,Q2,3,0.974974,0.975664,-0.00069,1355
vjepa2_rep1,conditioned,Q3,3,0.980221,0.983752,-0.003531,1354
vjepa2_rep1,conditioned,Q4 (easiest),3,0.981621,0.991564,-0.009943,1355
vjepa2_rep1,conditioned,Q1 (hardest),4,0.958899,0.938468,0.02043,1355
vjepa2_rep1,conditioned,Q2,4,0.970819,0.970058,0.000761,1355
vjepa2_rep1,conditioned,Q3,4,0.976152,0.978904,-0.002752,1354
vjepa2_rep1,conditioned,Q4 (easiest),4,0.977256,0.988436,-0.01118,1355
vjepa2_rep1,unconditioned,Q1 (hardest),1,0.972395,0.971762,0.000632,1355
vjepa2_rep1,unconditioned,Q2,1,0.985063,0.990298,-0.005235,1355
vjepa2_rep1,unconditioned,Q3,1,0.988137,0.993849,-0.005712,1354
vjepa2_rep1,unconditioned,Q4 (easiest),1,0.987729,0.996883,-0.009154,1355
vjepa2_rep1,unconditioned,Q1 (hardest),2,0.965387,0.955669,0.009718,1355
vjepa2_rep1,unconditioned,Q2,2,0.979974,0.982887,-0.002912,1355
vjepa2_rep1,unconditioned,Q3,2,0.984235,0.988693,-0.004458,1354
vjepa2_rep1,unconditioned,Q4 (easiest),2,0.984286,0.99441,-0.010124,1355
vjepa2_rep1,unconditioned,Q1 (hardest),3,0.961137,0.945562,0.015575,1355
vjepa2_rep1,unconditioned,Q2,3,0.974397,0.975664,-0.001267,1355
vjepa2_rep1,unconditioned,Q3,3,0.979875,0.983752,-0.003877,1354
vjepa2_rep1,unconditioned,Q4 (easiest),3,0.97942,0.991564,-0.012144,1355
vjepa2_rep1,unconditioned,Q1 (hardest),4,0.958324,0.938468,0.019856,1355
vjepa2_rep1,unconditioned,Q2,4,0.970369,0.970058,0.000311,1355
vjepa2_rep1,unconditioned,Q3,4,0.975638,0.978904,-0.003266,1354
