encoder,model,seed,cossim_h1,cossim_h2,cossim_h3,cossim_h4,mse_h1,mse_h2,mse_h3,mse_h4,z_hat_norm_ratio,n_test
clip_b32,dit_x0,0,0.9201522893319602,0.9169824617466467,0.9141995925748452,0.9120496020235244,0.03348036405454594,0.0348042301595772,0.035958661586953655,0.03685730160063627,0.9879716686809964,5419
clip_b32,mlp_residual,0,0.9510894398074194,0.9331697251748766,0.9215547963248163,0.9138174013010051,0.020385490569885333,0.027773689092976468,0.032577409837095915,0.03578345350815287,0.9754121614337453,5419
clip_b32,dit_x0,1,0.9178898465173626,0.9146616735632601,0.9115629433749632,0.9085910267045872,0.03361254320040821,0.034924248264029054,0.036184402690379903,0.03739546746164038,0.9836763637014562,5419
clip_b32,mlp_residual,1,0.9504254156866951,0.9322356748325751,0.9205169741089746,0.9124303185251239,0.020215722385599377,0.027512129574249672,0.03222993714141986,0.035546410125567696,0.9726718444727697,5419
clip_b32,dit_x0,2,0.9207251957585219,0.9175076517237797,0.9140956341549356,0.9114955311486764,0.032808089458671835,0.03413500150514058,0.03553230849595324,0.03658598922103682,0.9821312033193379,5419
clip_b32,mlp_residual,2,0.9507925987771614,0.9326277101231273,0.921043443864596,0.9134119825403636,0.020445887371278993,0.027925307569435148,0.03271821989830976,0.03589728624756034,0.9744257646533407,5419
dino_vits14,dit_x0,0,0.8502080776216712,0.8404915875274551,0.8308365443993987,0.821074513760764,1.6597116473504683,1.766217937282936,1.872422157255216,1.9796693333402113,0.9510310767191419,5419
dino_vits14,mlp_residual,0,0.9194592125500716,0.873919313652178,0.841154115757482,0.8188687493647568,0.9002604906047308,1.3939470480147884,1.7496022936998203,1.9914842187797348,0.9424968671519013,5419
dino_vits14,dit_x0,1,0.8455786239531102,0.8357798324165407,0.8259750587250786,0.8171988369508255,1.715860733930465,1.8248950242336264,1.9327592858530802,2.0296451662228674,0.9579186865704629,5419
dino_vits14,mlp_residual,1,0.9201030959984455,0.8749471581010806,0.8416860206999623,0.8199725688702727,0.8928611665265678,1.3820385395281647,1.74373380890146,1.981886653755837,0.9433957816846547,5419
dino_vits14,dit_x0,2,0.8421449092816418,0.8341178063383664,0.8248166494163602,0.8152449460547884,1.7470601826801713,1.8359087085037527,1.9381712684553913,2.043508288560703,0.9522944739922238,5419
dino_vits14,mlp_residual,2,0.9194957277699576,0.8734722675971823,0.8401370536887265,0.8188346571358264,0.9005698425608337,1.4009014621698719,1.7637370697883117,1.9961198925378028,0.9432597950404582,5419
vit_s16,dit_x0,0,0.8464850112287117,0.8393159047288854,0.8333356828789887,0.8264310040978141,1.9492377988481284,2.039062087486142,2.115117839835055,2.202812163850482,0.9781003781166885,5419
vit_s16,mlp_residual,0,0.9138146481581733,0.8777271523469488,0.8538446139532562,0.8388296959034564,1.0794440348840415,1.5242635758958372,1.8207454135836347,2.009756287826254,0.9502625459529971,5419
vit_s16,dit_x0,1,0.8474242883890972,0.8406343588553621,0.8348713607492427,0.8276044215899064,1.9318922591574585,2.0185044051580574,2.0912200686983966,2.183850282935512,0.9770485188069583,5419
