copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.855287,0.842688,vit_s16,4,8,mlp_residual_single,4819,2
0.842683,0.831316,vit_s16,5,8,mlp_residual_single,4819,2
0.832069,0.822388,vit_s16,6,8,mlp_residual_single,4819,2
0.822975,0.814067,vit_s16,7,8,mlp_residual_single,4819,2
0.814762,0.809573,vit_s16,8,8,mlp_residual_single,4819,2
0.922684,0.838034,vit_s16,1,16,dit_x0_actseq,3619,0
0.892281,0.829036,vit_s16,2,16,dit_x0_actseq,3619,0
0.870598,0.820933,vit_s16,3,16,dit_x0_actseq,3619,0
0.85491,0.814539,vit_s16,4,16,dit_x0_actseq,3619,0
0.842103,0.809684,vit_s16,5,16,dit_x0_actseq,3619,0
0.831306,0.80557,vit_s16,6,16,dit_x0_actseq,3619,0
0.822286,0.802009,vit_s16,7,16,dit_x0_actseq,3619,0
0.814083,0.798698,vit_s16,8,16,dit_x0_actseq,3619,0
0.807286,0.795633,vit_s16,9,16,dit_x0_actseq,3619,0
0.801078,0.792225,vit_s16,10,16,dit_x0_actseq,3619,0
0.795418,0.789941,vit_s16,11,16,dit_x0_actseq,3619,0
0.790112,0.786143,vit_s16,12,16,dit_x0_actseq,3619,0
0.785318,0.783364,vit_s16,13,16,dit_x0_actseq,3619,0
0.781305,0.779565,vit_s16,14,16,dit_x0_actseq,3619,0
0.777207,0.776958,vit_s16,15,16,dit_x0_actseq,3619,0
0.773482,0.774566,vit_s16,16,16,dit_x0_actseq,3619,0
0.922684,0.913163,vit_s16,1,16,mlp_flat_actseq,3619,0
0.892281,0.87642,vit_s16,2,16,mlp_flat_actseq,3619,0
0.870598,0.855287,vit_s16,3,16,mlp_flat_actseq,3619,0
0.85491,0.842232,vit_s16,4,16,mlp_flat_actseq,3619,0
0.842103,0.833157,vit_s16,5,16,mlp_flat_actseq,3619,0
0.831306,0.825984,vit_s16,6,16,mlp_flat_actseq,3619,0
0.822286,0.820324,vit_s16,7,16,mlp_flat_actseq,3619,0
0.814083,0.8153,vit_s16,8,16,mlp_flat_actseq,3619,0
0.807286,0.810697,vit_s16,9,16,mlp_flat_actseq,3619,0
0.801078,0.807543,vit_s16,10,16,mlp_flat_actseq,3619,0
0.795418,0.802859,vit_s16,11,16,mlp_flat_actseq,3619,0
0.790112,0.800872,vit_s16,12,16,mlp_flat_actseq,3619,0
0.785318,0.796833,vit_s16,13,16,mlp_flat_actseq,3619,0
0.781305,0.793401,vit_s16,14,16,mlp_flat_actseq,3619,0
0.777207,0.789436,vit_s16,15,16,mlp_flat_actseq,3619,0
0.773482,0.78598,vit_s16,16,16,mlp_flat_actseq,3619,0
0.922684,0.80071,vit_s16,1,16,dit_x0_single,3619,0
0.892281,0.797389,vit_s16,2,16,dit_x0_single,3619,0
0.870598,0.794764,vit_s16,3,16,dit_x0_single,3619,0
0.85491,0.795122,vit_s16,4,16,dit_x0_single,3619,0
0.842103,0.791629,vit_s16,5,16,dit_x0_single,3619,0
0.831306,0.789894,vit_s16,6,16,dit_x0_single,3619,0
0.822286,0.787812,vit_s16,7,16,dit_x0_single,3619,0
0.814083,0.785202,vit_s16,8,16,dit_x0_single,3619,0
0.807286,0.783313,vit_s16,9,16,dit_x0_single,3619,0
0.801078,0.782465,vit_s16,10,16,dit_x0_single,3619,0
0.795418,0.78003,vit_s16,11,16,dit_x0_single,3619,0
0.790112,0.778218,vit_s16,12,16,dit_x0_single,3619,0
