encoder,variant,seed,t_start,n_ddim_steps,guidance_w,cossim_h1,cossim_h2,cossim_h3,cossim_h4,mse_h1,z_hat_norm_ratio
clip_b32,conditioned,0,0,5,1.0,0.9573290561437386,0.9423163006239259,0.9320291250608662,0.9242289392330876,0.01788567045635129,0.999869294723258
clip_b32,conditioned,0,40,5,1.0,0.956688994432116,0.9417183505232691,0.9314418897612945,0.923666242876491,0.018151045288298705,0.9998650435454504
clip_b32,conditioned,0,100,5,1.0,0.9540104384703002,0.9392069577070856,0.9290227444767182,0.9213408001852027,0.019260947088140207,0.9998541700375684
clip_b32,conditioned,0,200,5,1.0,0.9558820300358295,0.9419463932525189,0.9322292442624476,0.924864192272073,0.018383586449604628,0.9943104122552275
clip_b32,conditioned,0,400,5,1.0,0.9521197171025576,0.9390202269032336,0.9297660177188246,0.9227911813119655,0.019912145788499317,0.9931082733616441
clip_b32,conditioned,0,600,5,1.0,0.9464251146388684,0.9343268673761808,0.9256900978123577,0.9192371005874693,0.022240833363688768,0.991656891752688
clip_b32,conditioned,0,800,5,1.0,0.9341195608597661,0.9234760373825296,0.9158484308806308,0.9103188895721632,0.02742343113681535,0.9937140167082841
clip_b32,conditioned,0,980,5,1.0,0.8989818261148833,0.8933112853170431,0.8897103293616517,0.8871378633759959,0.04024013605784789,0.930746999639325
clip_b32,conditioned,1,0,5,1.0,0.9585244185283497,0.9438990451990843,0.9338292116431606,0.9261600130443358,0.01782960021907189,0.999824923238989
clip_b32,conditioned,1,40,5,1.0,0.9578917292700326,0.9433143779038723,0.9332528629081235,0.9255954329213834,0.01809860124955826,0.9998387303600951
clip_b32,conditioned,1,100,5,1.0,0.9552484108614601,0.940849561844393,0.930876826025679,0.9232955808722241,0.019221844923278462,0.999861592606843
clip_b32,conditioned,1,200,5,1.0,0.957133383785233,0.9435831475772636,0.9341099259157774,0.9268356917374775,0.01831481031197687,0.9942450657924159
clip_b32,conditioned,1,400,5,1.0,0.9534690752749206,0.9407736262088993,0.9317724949804526,0.9248376351085662,0.019826642623091122,0.9923815750979597
clip_b32,conditioned,1,600,5,1.0,0.9478955822339421,0.9362334275866021,0.9278070914787128,0.9213058449153333,0.022150445587191994,0.9904198675738948
clip_b32,conditioned,1,800,5,1.0,0.9357533790150523,0.9256856277389793,0.9181303435045979,0.9123778926598055,0.02734101786563308,0.9908972921473954
clip_b32,conditioned,1,980,5,1.0,0.9016959434462817,0.8971953982465666,0.8929560144441685,0.8905270547087198,0.04020518048000107,0.9299944227335979
clip_b32,conditioned,2,0,5,1.0,0.9579421404345622,0.943060422828,0.932881342086609,0.9251695419286181,0.017761304672078072,0.9998509364357798
clip_b32,conditioned,2,40,5,1.0,0.9573097426109504,0.9424692454164726,0.9323037452507688,0.9246232764354424,0.018025021391681342,0.9998416783171266
clip_b32,conditioned,2,100,5,1.0,0.9546552314202181,0.9399806858758949,0.9299147212212762,0.9223365480993524,0.019131787810120596,0.9998132775380721
clip_b32,conditioned,2,200,5,1.0,0.9565523763186027,0.9427332739962887,0.9331658823196685,0.9259333190805337,0.018228476850237214,0.9935828545910029
clip_b32,conditioned,2,400,5,1.0,0.9529389815920942,0.9399270076860821,0.9308812418950179,0.9240461857386193,0.019689105873201183,0.9913273462980123
clip_b32,conditioned,2,600,5,1.0,0.9475265745087993,0.9354691809009947,0.9270858314121356,0.920735657138124,0.021892404727861876,0.9886272975157381
clip_b32,conditioned,2,800,5,1.0,0.9354507909487217,0.9247876470171232,0.9175096868390767,0.9118179374789154,0.026938273570572324,0.9880991141497931
clip_b32,conditioned,2,980,5,1.0,0.8981364922981945,0.8931906010792646,0.8898975416663213,0.8869707741449627,0.040827198450053656,0.9267860663389911
dino_vits14,conditioned,0,0,5,1.0,0.9323425271850293,0.8994164474777332,0.8737352311028218,0.8529597442733954,0.7825034597875183,0.9997404051902773
dino_vits14,conditioned,0,40,5,1.0,0.9308572337292595,0.8980569721566155,0.8723942421749303,0.8516941228945067,0.7997425491683574,0.9997049457721061
dino_vits14,conditioned,0,100,5,1.0,0.9247058566414269,0.8923143012692158,0.8668693912757414,0.8464299188062347,0.8710561894164971,0.9995643549694607
dino_vits14,conditioned,0,200,5,1.0,0.9267297629655387,0.8964270250144799,0.8722503438253731,0.8526895469923172,0.8358682388528111,0.9821094671153414
dino_vits14,conditioned,0,400,5,1.0,0.9166373185817551,0.8884064047335258,0.8655373319353779,0.8470274979259986,0.9471338845460832,0.9752186121558553
dino_vits14,conditioned,0,600,5,1.0,0.9029398022553295,0.8769867364320616,0.8555715645034939,0.8382972742627305,1.0988885732039377,0.9693658815238114
dino_vits14,conditioned,0,800,5,1.0,0.8764244187997923,0.8538867706169302,0.8342679494156303,0.8189819372542825,1.4057959158672664,0.9715425242208002
dino_vits14,conditioned,0,980,5,1.0,0.7960383550204305,0.7823209627063143,0.7694964481909176,0.7610639926581656,2.139840057930574,0.843302963183251
dino_vits14,conditioned,1,0,5,1.0,0.9323425271850293,0.8994164474777332,0.8737352311028218,0.8529597442733954,0.7825034597875183,0.9997404051902773
dino_vits14,conditioned,1,40,5,1.0,0.9308657641779521,0.89801913351343,0.8724156830402775,0.851667383408322,0.7996329632956376,0.9996812356695086
dino_vits14,conditioned,1,100,5,1.0,0.9247145067613752,0.8922255615133007,0.8669200629012395,0.8463671118114504,0.8709345358415468,0.9995140495871916
dino_vits14,conditioned,1,200,5,1.0,0.9266536893561265,0.8962709990390708,0.8722239049252252,0.8525001883484776,0.836555075834633,0.9825056080378669
dino_vits14,conditioned,1,400,5,1.0,0.9164451364002274,0.8881828595316482,0.8655132428155348,0.846773152862622,0.9492248944150365,0.9758106558379402
dino_vits14,conditioned,1,600,5,1.0,0.9024521207695057,0.8766065169181478,0.8554759696964673,0.8379379064092163,1.104900727568572,0.9702369266980672
dino_vits14,conditioned,1,800,5,1.0,0.8749374443148529,0.8528038013639166,0.8337719958302368,0.8180445649787099,1.4265812044764912,0.9739545389379127
dino_vits14,conditioned,1,980,5,1.0,0.791461993152529,0.7778554903358788,0.7660609849112173,0.7563095933991971,2.1890745696204905,0.8444932161574624
dino_vits14,conditioned,2,0,5,1.0,0.9323425271850293,0.8994164474777332,0.8737352311028218,0.8529597442733954,0.7825034597875183,0.9997404051902773
dino_vits14,conditioned,2,40,5,1.0,0.9308672058646101,0.898017914274518,0.8724290728459039,0.8517065011260474,0.7995685347553372,0.9996671148185767
dino_vits14,conditioned,2,100,5,1.0,0.9247214272797031,0.8922168121366049,0.8669455528787239,0.8464582471043273,0.870746176452693,0.9994834306216234
dino_vits14,conditioned,2,200,5,1.0,0.926682622346035,0.8962206836115458,0.8722258696456658,0.8525742951256033,0.8369208223420682,0.9832610895543559
dino_vits14,conditioned,2,400,5,1.0,0.9164333002090806,0.8879776951307123,0.8654512108681188,0.8468329744115486,0.9503082008594119,0.976859317935719
dino_vits14,conditioned,2,600,5,1.0,0.9024216334611689,0.8761749795539547,0.8553561175258909,0.8379829724923032,1.1066651084718284,0.9719198437069123
dino_vits14,conditioned,2,800,5,1.0,0.8750092576275587,0.8518533968885879,0.8336475743295346,0.8182024951349833,1.4270319040245314,0.975772820110789
dino_vits14,conditioned,2,980,5,1.0,0.7916145465496744,0.7773645129628806,0.7661907719078704,0.7568638673632055,2.1839112786706423,0.8433948759313318
