encoder,h_train,step,dit_x0,mlp_residual,gap
vjepa2_rep1,16,7,0.947821,0.960434,-0.012612
vjepa2_rep1,16,8,0.947354,0.958958,-0.011604
vjepa2_rep1,16,9,0.946729,0.957718,-0.010989
vjepa2_rep1,16,10,0.946473,0.956711,-0.010238
vjepa2_rep1,16,11,0.945588,0.955468,-0.009881
vjepa2_rep1,16,12,0.944659,0.954381,-0.009722
vjepa2_rep1,16,13,0.944224,0.953231,-0.009006
vjepa2_rep1,16,14,0.943132,0.951739,-0.008607
vjepa2_rep1,16,15,0.943123,0.950207,-0.007085
vjepa2_rep1,16,16,0.9416,0.949067,-0.007467
vjepa2_rep64,4,1,0.985089,0.993621,-0.008532
vjepa2_rep64,4,2,0.983241,0.98792,-0.004679
vjepa2_rep64,4,3,0.979924,0.982639,-0.002715
vjepa2_rep64,4,4,0.976203,0.978243,-0.00204
vjepa2_rep64,8,1,0.973502,0.993896,-0.020394
vjepa2_rep64,8,2,0.973455,0.98835,-0.014895
vjepa2_rep64,8,3,0.972083,0.983269,-0.011186
vjepa2_rep64,8,4,0.970101,0.979182,-0.009081
vjepa2_rep64,8,5,0.967992,0.975735,-0.007743
vjepa2_rep64,8,6,0.965774,0.972763,-0.006988
vjepa2_rep64,8,7,0.963396,0.970042,-0.006647
vjepa2_rep64,8,8,0.961215,0.967674,-0.006459
vjepa2_rep64,16,1,0.957426,0.993238,-0.035813
vjepa2_rep64,16,2,0.957629,0.986623,-0.028994
vjepa2_rep64,16,3,0.957056,0.980243,-0.023187
vjepa2_rep64,16,4,0.956258,0.975219,-0.018961
vjepa2_rep64,16,5,0.955342,0.971145,-0.015803
vjepa2_rep64,16,6,0.954437,0.967775,-0.013339
vjepa2_rep64,16,7,0.95388,0.964918,-0.011038
vjepa2_rep64,16,8,0.95256,0.962468,-0.009907
vjepa2_rep64,16,9,0.951923,0.960452,-0.008529
vjepa2_rep64,16,10,0.950392,0.958587,-0.008195
vjepa2_rep64,16,11,0.949573,0.956923,-0.00735
vjepa2_rep64,16,12,0.948296,0.955292,-0.006996
vjepa2_rep64,16,13,0.94714,0.953593,-0.006453
vjepa2_rep64,16,14,0.94599,0.951622,-0.005632
vjepa2_rep64,16,15,0.944933,0.94979,-0.004857
vjepa2_rep64,16,16,0.943726,0.94842,-0.004694
vq_track,4,1,0.990589,0.994181,-0.003592
vq_track,4,2,0.989323,0.9917,-0.002377
vq_track,4,3,0.988165,0.989715,-0.00155
vq_track,4,4,0.987206,0.988006,-0.0008
vq_track,8,1,0.979784,0.99494,-0.015156
vq_track,8,2,0.978909,0.992258,-0.013349
vq_track,8,3,0.977965,0.990243,-0.012278
vq_track,8,4,0.977338,0.988783,-0.011445
vq_track,8,5,0.976828,0.987529,-0.010701
vq_track,8,6,0.976372,0.986324,-0.009952
vq_track,8,7,0.975624,0.985315,-0.009691
vq_track,8,8,0.975117,0.984383,-0.009266
vq_track,16,1,0.979247,0.995018,-0.01577
vq_track,16,2,0.978079,0.992074,-0.013994
vq_track,16,3,0.977481,0.990055,-0.012574
vq_track,16,4,0.97677,0.9886,-0.01183
vq_track,16,5,0.976265,0.987432,-0.011166
vq_track,16,6,0.975817,0.986532,-0.010715
vq_track,16,7,0.975365,0.985767,-0.010402
vq_track,16,8,0.975051,0.984873,-0.009823
vq_track,16,9,0.975049,0.984263,-0.009214
vq_track,16,10,0.974339,0.983457,-0.009118
vq_track,16,11,0.973754,0.982699,-0.008945
vq_track,16,12,0.973762,0.982054,-0.008292
vq_track,16,13,0.973294,0.981458,-0.008164
vq_track,16,14,0.972846,0.980788,-0.007942
vq_track,16,15,0.972459,0.980158,-0.007699
vq_track,16,16,0.972179,0.979699,-0.00752
