encoder,seed,eta,quartile,horizon_step,best_of_k_cossim,best_of_k_mse,best_of_k_norm_ratio,mean_of_k_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_baseline,pairwise_distance,spread,n_windows
vjepa2_rep64,0,0.0,Q3,2,0.988992,0.058922,0.992345,0.98692,0.984016,0.992483,0.992091,0.002249,0.002587,1354
vjepa2_rep64,0,0.0,Q4 (easiest),2,0.990662,0.051941,0.989798,0.988663,0.984007,0.995551,0.996158,0.002249,0.002587,1355
vjepa2_rep64,0,0.0,Q1 (hardest),3,0.969784,0.155215,0.9866,0.963837,0.96609,0.969275,0.941329,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q2,3,0.983626,0.086006,0.991575,0.981248,0.978963,0.984809,0.980277,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q3,3,0.987958,0.064316,0.991399,0.985791,0.981833,0.989366,0.988228,0.002233,0.002587,1354
vjepa2_rep64,0,0.0,Q4 (easiest),3,0.989783,0.056826,0.989821,0.98775,0.980765,0.993845,0.994447,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q1 (hardest),4,0.961567,0.196719,0.98593,0.95397,0.959257,0.960778,0.926486,0.002287,0.002858,1355
vjepa2_rep64,0,0.0,Q2,4,0.980531,0.102006,0.991073,0.978019,0.975853,0.981031,0.975126,0.002287,0.002858,1355
vjepa2_rep64,0,0.0,Q3,4,0.986411,0.072593,0.991292,0.984418,0.979865,0.987144,0.985121,0.002287,0.002858,1354
vjepa2_rep64,0,0.0,Q4 (easiest),4,0.989209,0.059961,0.990086,0.987111,0.97799,0.992443,0.993169,0.002287,0.002858,1355
