encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
vjepa2_rep64,2,Q1 (hardest),1,0.97621,0.982216,0.98818,0.97808,-0.011971,-0.006007,-0.001871,1355
vjepa2_rep64,2,Q2,1,0.985215,0.987456,0.993892,0.993171,-0.008677,-0.002241,-0.007956,1355
vjepa2_rep64,2,Q3,1,0.98844,0.989495,0.995479,0.996063,-0.007039,-0.001055,-0.007623,1354
vjepa2_rep64,2,Q4 (easiest),1,0.98918,0.989837,0.996755,0.998067,-0.007575,-0.000657,-0.008886,1355
vjepa2_rep64,2,Q1 (hardest),2,0.971386,0.974805,0.977696,0.959548,-0.006309,-0.003419,0.011839,1355
vjepa2_rep64,2,Q2,2,0.98425,0.984682,0.988034,0.986261,-0.003784,-0.000432,-0.002012,1355
vjepa2_rep64,2,Q3,2,0.987618,0.987188,0.991066,0.992106,-0.003448,0.00043,-0.004488,1354
vjepa2_rep64,2,Q4 (easiest),2,0.988655,0.988172,0.994144,0.996185,-0.00549,0.000483,-0.00753,1355
vjepa2_rep64,2,Q1 (hardest),3,0.962891,0.966399,0.966977,0.941442,-0.004086,-0.003509,0.021449,1355
vjepa2_rep64,2,Q2,3,0.981346,0.980783,0.982807,0.980245,-0.00146,0.000564,0.001101,1355
vjepa2_rep64,2,Q3,3,0.986119,0.984887,0.987279,0.988268,-0.00116,0.001232,-0.00215,1354
vjepa2_rep64,2,Q4 (easiest),3,0.987913,0.985697,0.991713,0.994485,-0.0038,0.002216,-0.006571,1355
vjepa2_rep64,2,Q1 (hardest),4,0.952804,0.958491,0.958194,0.925944,-0.00539,-0.005688,0.02686,1355
vjepa2_rep64,2,Q2,4,0.978242,0.976972,0.978311,0.975132,-7e-05,0.00127,0.00311,1355
vjepa2_rep64,2,Q3,4,0.98478,0.982896,0.984332,0.98524,0.000449,0.001885,-0.00046,1354
vjepa2_rep64,2,Q4 (easiest),4,0.987096,0.983196,0.989606,0.993208,-0.002511,0.0039,-0.006113,1355
vq_track,0,Q1 (hardest),1,0.985714,0.987709,0.988319,0.987959,-0.002605,-0.001995,-0.002245,1355
vq_track,0,Q2,1,0.991617,0.994108,0.994428,0.99582,-0.002811,-0.002491,-0.004203,1355
vq_track,0,Q3,1,0.99412,0.99616,0.99664,0.997863,-0.00252,-0.00204,-0.003743,1354
vq_track,0,Q4 (easiest),1,0.992973,0.99619,0.997941,0.999381,-0.004968,-0.003216,-0.006408,1355
vq_track,0,Q1 (hardest),2,0.982014,0.982248,0.982964,0.9817,-0.00095,-0.000234,0.000314,1355
vq_track,0,Q2,2,0.991162,0.992003,0.992281,0.993866,-0.001119,-0.000841,-0.002703,1355
vq_track,0,Q3,2,0.993649,0.994836,0.995195,0.996904,-0.001545,-0.001187,-0.003255,1354
vq_track,0,Q4 (easiest),2,0.993112,0.99494,0.996874,0.999123,-0.003762,-0.001829,-0.006012,1355
vq_track,0,Q1 (hardest),3,0.978423,0.978945,0.978477,0.976642,-5.4e-05,-0.000522,0.001781,1355
vq_track,0,Q2,3,0.990495,0.990721,0.990852,0.992454,-0.000357,-0.000226,-0.001959,1355
vq_track,0,Q3,3,0.992955,0.993778,0.994149,0.996275,-0.001194,-0.000823,-0.00332,1354
vq_track,0,Q4 (easiest),3,0.992675,0.994165,0.996299,0.998926,-0.003625,-0.001491,-0.006251,1355
vq_track,0,Q1 (hardest),4,0.976633,0.975662,0.974721,0.972774,0.001912,0.00097,0.003858,1355
vq_track,0,Q2,4,0.989073,0.989415,0.989259,0.991225,-0.000186,-0.000342,-0.002152,1355
vq_track,0,Q3,4,0.992826,0.99286,0.992871,0.995694,-4.5e-05,-3.4e-05,-0.002868,1354
vq_track,0,Q4 (easiest),4,0.992637,0.993871,0.995855,0.998782,-0.003218,-0.001234,-0.006144,1355
vq_track,1,Q1 (hardest),1,0.984847,0.987964,0.987718,0.987959,-0.002871,-0.003117,-0.003112,1355
vq_track,1,Q2,1,0.991459,0.994061,0.994295,0.99582,-0.002836,-0.002603,-0.004361,1355
vq_track,1,Q3,1,0.993629,0.996122,0.996595,0.997863,-0.002965,-0.002493,-0.004234,1354
vq_track,1,Q4 (easiest),1,0.991402,0.996185,0.997446,0.999381,-0.006044,-0.004783,-0.00798,1355
vq_track,1,Q1 (hardest),2,0.981184,0.983125,0.982463,0.9817,-0.001279,-0.001941,-0.000517,1355
vq_track,1,Q2,2,0.99023,0.992116,0.991949,0.993866,-0.001719,-0.001886,-0.003635,1355
vq_track,1,Q3,2,0.993512,0.994665,0.99505,0.996904,-0.001538,-0.001153,-0.003392,1354
vq_track,1,Q4 (easiest),2,0.991356,0.995076,0.996522,0.999123,-0.005167,-0.00372,-0.007768,1355
vq_track,1,Q1 (hardest),3,0.977842,0.979211,0.977635,0.976642,0.000207,-0.001369,0.0012,1355
vq_track,1,Q2,3,0.989783,0.990316,0.990563,0.992454,-0.00078,-0.000533,-0.002671,1355
vq_track,1,Q3,3,0.99283,0.99387,0.994001,0.996275,-0.001171,-0.001039,-0.003444,1354
vq_track,1,Q4 (easiest),3,0.991247,0.99326,0.99533,0.998926,-0.004083,-0.002013,-0.007678,1355
vq_track,1,Q1 (hardest),4,0.975988,0.976556,0.974639,0.972774,0.001349,-0.000568,0.003213,1355
vq_track,1,Q2,4,0.988784,0.988901,0.988673,0.991225,0.000111,-0.000116,-0.002441,1355
vq_track,1,Q3,4,0.992689,0.992809,0.992846,0.995694,-0.000157,-0.00012,-0.003006,1354
vq_track,1,Q4 (easiest),4,0.991035,0.992518,0.994798,0.998782,-0.003763,-0.001483,-0.007747,1355
vq_track,2,Q1 (hardest),1,0.98488,0.987752,0.987845,0.987959,-0.002966,-0.002872,-0.00308,1355
vq_track,2,Q2,1,0.991562,0.994138,0.994421,0.99582,-0.00286,-0.002576,-0.004258,1355
vq_track,2,Q3,1,0.994089,0.99616,0.996638,0.997863,-0.002549,-0.002071,-0.003774,1354
vq_track,2,Q4 (easiest),1,0.990782,0.996049,0.997892,0.999381,-0.007111,-0.005268,-0.0086,1355
vq_track,2,Q1 (hardest),2,0.981213,0.982975,0.982872,0.9817,-0.001658,-0.001762,-0.000487,1355
vq_track,2,Q2,2,0.990652,0.992141,0.992223,0.993866,-0.00157,-0.001489,-0.003213,1355
vq_track,2,Q3,2,0.993591,0.995055,0.995162,0.996904,-0.001572,-0.001464,-0.003313,1354
vq_track,2,Q4 (easiest),2,0.990211,0.995077,0.99685,0.999123,-0.006639,-0.004866,-0.008912,1355
vq_track,2,Q1 (hardest),3,0.978428,0.979011,0.978558,0.976642,-0.00013,-0.000583,0.001786,1355
vq_track,2,Q2,3,0.989923,0.990537,0.990617,0.992454,-0.000694,-0.000614,-0.002531,1355
vq_track,2,Q3,3,0.993231,0.993934,0.994084,0.996275,-0.000853,-0.000703,-0.003043,1354
vq_track,2,Q4 (easiest),3,0.990159,0.994556,0.996026,0.998926,-0.005868,-0.004397,-0.008767,1355
vq_track,2,Q1 (hardest),4,0.975325,0.976253,0.975107,0.972774,0.000218,-0.000929,0.00255,1355
vq_track,2,Q2,4,0.988874,0.989092,0.988832,0.991225,4.2e-05,-0.000218,-0.002351,1355
vq_track,2,Q3,4,0.992954,0.992781,0.992933,0.995694,2.1e-05,0.000173,-0.002741,1354
vq_track,2,Q4 (easiest),4,0.989671,0.993784,0.995549,0.998782,-0.005878,-0.004112,-0.00911,1355
