encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
clip_b32,2,Q4 (easiest),4,0.932576,0.935514,0.947042,0.97411,-0.014466,-0.002938,-0.041534,1355
dino_vits14,0,Q1 (hardest),1,0.81053,0.836225,0.871656,0.877568,-0.061126,-0.025695,-0.067037,1355
dino_vits14,0,Q2,1,0.846438,0.868638,0.914628,0.926385,-0.068191,-0.0222,-0.079947,1355
dino_vits14,0,Q3,1,0.86834,0.883825,0.933117,0.946487,-0.064777,-0.015484,-0.078147,1354
dino_vits14,0,Q4 (easiest),1,0.875537,0.880626,0.958445,0.978941,-0.082908,-0.005089,-0.103404,1355
dino_vits14,0,Q1 (hardest),2,0.784874,0.804747,0.80511,0.813335,-0.020237,-0.019873,-0.028461,1355
dino_vits14,0,Q2,2,0.840472,0.855475,0.868676,0.892224,-0.028204,-0.015003,-0.051752,1355
dino_vits14,0,Q3,2,0.863488,0.874269,0.895569,0.922753,-0.032081,-0.010782,-0.059266,1354
dino_vits14,0,Q4 (easiest),2,0.87315,0.871634,0.926338,0.969372,-0.053188,0.001516,-0.096221,1355
dino_vits14,0,Q1 (hardest),3,0.762945,0.778651,0.759663,0.764504,0.003282,-0.015706,-0.001559,1355
dino_vits14,0,Q2,3,0.830474,0.839951,0.835251,0.865465,-0.004777,-0.009477,-0.03499,1355
dino_vits14,0,Q3,3,0.857576,0.861521,0.867251,0.9036,-0.009675,-0.003945,-0.046024,1354
dino_vits14,0,Q4 (easiest),3,0.87237,0.860866,0.90247,0.961394,-0.0301,0.011505,-0.089023,1355
dino_vits14,0,Q1 (hardest),4,0.74133,0.75667,0.725914,0.726386,0.015416,-0.015339,0.014944,1355
dino_vits14,0,Q2,4,0.819872,0.826137,0.812352,0.843088,0.007521,-0.006264,-0.023215,1355
dino_vits14,0,Q3,4,0.850351,0.850734,0.848572,0.88785,0.001779,-0.000384,-0.037499,1354
dino_vits14,0,Q4 (easiest),4,0.872766,0.85191,0.888659,0.954541,-0.015893,0.020857,-0.081775,1355
dino_vits14,1,Q1 (hardest),1,0.803338,0.83695,0.871783,0.877568,-0.068444,-0.033612,-0.074229,1355
dino_vits14,1,Q2,1,0.842188,0.868045,0.914903,0.926385,-0.072715,-0.025857,-0.084196,1355
dino_vits14,1,Q3,1,0.865109,0.883195,0.93325,0.946487,-0.068141,-0.018086,-0.081378,1354
dino_vits14,1,Q4 (easiest),1,0.871693,0.878952,0.960486,0.978941,-0.088793,-0.007259,-0.107248,1355
dino_vits14,1,Q1 (hardest),2,0.778577,0.806146,0.804762,0.813335,-0.026185,-0.027569,-0.034758,1355
dino_vits14,1,Q2,2,0.835718,0.855218,0.869597,0.892224,-0.033879,-0.0195,-0.056505,1355
dino_vits14,1,Q3,2,0.859447,0.874049,0.895857,0.922753,-0.03641,-0.014602,-0.063306,1354
dino_vits14,1,Q4 (easiest),2,0.869394,0.871045,0.929588,0.969372,-0.060194,-0.001651,-0.099977,1355
dino_vits14,1,Q1 (hardest),3,0.756482,0.780186,0.757911,0.764504,-0.001429,-0.023704,-0.008022,1355
dino_vits14,1,Q2,3,0.824758,0.839328,0.836499,0.865465,-0.011741,-0.014569,-0.040707,1355
dino_vits14,1,Q3,3,0.854855,0.860701,0.868085,0.9036,-0.013231,-0.005846,-0.048745,1354
dino_vits14,1,Q4 (easiest),3,0.867826,0.858862,0.904268,0.961394,-0.036442,0.008964,-0.093568,1355
