encoder,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows,n_seeds
clip_b32,Q1 (hardest),1,0.8974320292472839,0.9165999889373779,0.9220960140228271,0.9229109883308411,-0.02466299943625927,-0.019168000668287277,-0.025477999821305275,1355,3
clip_b32,Q1 (hardest),2,0.8895210027694702,0.9050620198249817,0.8967239856719971,0.8965259790420532,-0.007203000131994486,-0.015541000291705132,-0.0070050000213086605,1355,3
clip_b32,Q1 (hardest),3,0.8831449747085571,0.896481990814209,0.8822749853134155,0.8805310130119324,0.0008689999813213944,-0.01333799958229065,0.0026140001136809587,1355,3
clip_b32,Q1 (hardest),4,0.8788210153579712,0.8900949954986572,0.8717269897460938,0.8685150146484375,0.0070940000005066395,-0.011273999698460102,0.010305999778211117,1355,3
clip_b32,Q2,1,0.9171739816665649,0.9341980218887329,0.9468209743499756,0.9538789987564087,-0.02964700013399124,-0.017023999243974686,-0.03670499846339226,1355,3
clip_b32,Q2,2,0.9144539833068848,0.9287980198860168,0.9281780123710632,0.9377480149269104,-0.013722999952733517,-0.014343000017106533,-0.023293999955058098,1355,3
clip_b32,Q2,3,0.911450982093811,0.9221159815788269,0.9157299995422363,0.9257609844207764,-0.004279000218957663,-0.010665000416338444,-0.014310999773442745,1355,3
clip_b32,Q2,4,0.9085339903831482,0.9165610074996948,0.907505989074707,0.9165099859237671,0.0010270000202581286,-0.008027000352740288,-0.00797600019723177,1355,3
clip_b32,Q3,1,0.9293169975280762,0.9444190263748169,0.9595649838447571,0.9683409929275513,-0.03024899959564209,-0.01510199997574091,-0.039023999124765396,1354,3
clip_b32,Q3,2,0.9272720217704773,0.9396650195121765,0.9433119893074036,0.9562060236930847,-0.016040999442338943,-0.012393999844789505,-0.02893500030040741,1354,3
clip_b32,Q3,3,0.9245150089263916,0.9337180256843567,0.9321879744529724,0.9473379850387573,-0.007672000210732222,-0.009202999994158745,-0.022823000326752663,1354,3
clip_b32,Q3,4,0.9226049780845642,0.9288750290870667,0.9258270263671875,0.9408000111579895,-0.0032220000866800547,-0.0062699997797608376,-0.018194999545812607,1354,3
clip_b32,Q4 (easiest),1,0.9344409704208374,0.9480090141296387,0.9746009707450867,0.9860529899597168,-0.040160998702049255,-0.013567999936640263,-0.05161299929022789,1355,3
clip_b32,Q4 (easiest),2,0.9342960119247437,0.9453499913215637,0.9625049829483032,0.9811969995498657,-0.028209000825881958,-0.01105399988591671,-0.046900998800992966,1355,3
clip_b32,Q4 (easiest),3,0.9340419769287109,0.9407550096511841,0.9539690017700195,0.9771929979324341,-0.019927000626921654,-0.006713000126183033,-0.043150998651981354,1355,3
clip_b32,Q4 (easiest),4,0.9328969717025757,0.9355120062828064,0.9478279948234558,0.9740200042724609,-0.014930999837815762,-0.0026149998884648085,-0.04112299904227257,1355,3
dino_vits14,Q1 (hardest),1,0.8059579730033875,0.8366400003433228,0.8714939951896667,0.8775680065155029,-0.06553500145673752,-0.030681999400258064,-0.0716089978814125,1355,3
dino_vits14,Q1 (hardest),2,0.7814189791679382,0.8053249716758728,0.8041120171546936,0.8133350014686584,-0.022693000733852386,-0.023905999958515167,-0.031915999948978424,1355,3
dino_vits14,Q1 (hardest),3,0.759913980960846,0.7793279886245728,0.7574520111083984,0.7645040154457092,0.0024610001128166914,-0.01941400021314621,-0.0045900000259280205,1355,3
dino_vits14,Q1 (hardest),4,0.7375620007514954,0.7573720216751099,0.7250109910964966,0.7263860106468201,0.012551000341773033,-0.01981000043451786,0.011176000349223614,1355,3
dino_vits14,Q2,1,0.8430749773979187,0.8682829737663269,0.9145280122756958,0.9263849854469299,-0.07145299762487411,-0.0252080000936985,-0.08330900222063065,1355,3
dino_vits14,Q2,2,0.8369410037994385,0.8553670048713684,0.8686879873275757,0.8922240138053894,-0.0317469984292984,-0.018425999209284782,-0.055282000452280045,1355,3
dino_vits14,Q2,3,0.8270639777183533,0.839847981929779,0.8354849815368652,0.865464985370636,-0.008421000093221664,-0.012783999554812908,-0.03840100020170212,1355,3
dino_vits14,Q2,4,0.8177120089530945,0.826225996017456,0.8133249878883362,0.8430879712104797,0.004387000110000372,-0.008514000102877617,-0.02537599951028824,1355,3
dino_vits14,Q3,1,0.8649550080299377,0.8833940029144287,0.9330580234527588,0.9464870095252991,-0.06810300052165985,-0.018439000472426414,-0.08153200149536133,1354,3
dino_vits14,Q3,2,0.8604170083999634,0.873956024646759,0.8954439759254456,0.9227529764175415,-0.03502799943089485,-0.013539000414311886,-0.0623369999229908,1354,3
dino_vits14,Q3,3,0.8546109795570374,0.8609359860420227,0.8674830198287964,0.9035999774932861,-0.012873000465333462,-0.006326000206172466,-0.048990000039339066,1354,3
dino_vits14,Q3,4,0.8485770225524902,0.8501819968223572,0.848800003528595,0.8878499865531921,-0.0002229999954579398,-0.0016060000052675605,-0.03927300125360489,1354,3
dino_vits14,Q4 (easiest),1,0.8699340224266052,0.8797850012779236,0.9596740007400513,0.978941023349762,-0.08974000066518784,-0.009851000271737576,-0.10900700092315674,1355,3
dino_vits14,Q4 (easiest),2,0.8684269785881042,0.871399998664856,0.9282230138778687,0.9693719744682312,-0.05979600176215172,-0.0029730000533163548,-0.10094500333070755,1355,3
dino_vits14,Q4 (easiest),3,0.8672699928283691,0.8601269721984863,0.9035680294036865,0.9613940119743347,-0.036299001425504684,0.007143000140786171,-0.09412399679422379,1355,3
dino_vits14,Q4 (easiest),4,0.8675299882888794,0.850907027721405,0.8897870182991028,0.954541027545929,-0.022257000207901,0.0166229996830225,-0.08701100200414658,1355,3
vit_s16,Q1 (hardest),1,0.8003349900245667,0.8437719941139221,0.8579639792442322,0.8546670079231262,-0.05762900039553642,-0.04343700036406517,-0.05433199927210808,1355,3
vit_s16,Q1 (hardest),2,0.7865139842033386,0.8243110179901123,0.8095070123672485,0.8008409738540649,-0.022993000224232674,-0.037797000259160995,-0.014326999895274639,1355,3
vit_s16,Q1 (hardest),3,0.7752670049667358,0.8086450099945068,0.7803149819374084,0.7657859921455383,-0.0050490000285208225,-0.0333780013024807,0.009480999782681465,1355,3
vit_s16,Q1 (hardest),4,0.762024998664856,0.7956730127334595,0.762345016002655,0.7416219711303711,-0.00031999999191612005,-0.03364799916744232,0.020402999594807625,1355,3
vit_s16,Q2,1,0.8407629728317261,0.8787009716033936,0.9070309996604919,0.916130006313324,-0.06626900285482407,-0.03793900087475777,-0.07536700367927551,1355,3
vit_s16,Q2,2,0.8347449898719788,0.8673319816589355,0.8690969944000244,0.882157027721405,-0.034352000802755356,-0.032586999237537384,-0.047412000596523285,1355,3
