encoder,scene_name,scenario,fold_id,steer_rmse,accel_rmse,n
vjepa2_rep64,scene-0003,,0,0.04938063673103008,0.05716353751026887,40
vjepa2_rep64,scene-0012,,0,0.03139910841822038,0.055969897258942185,40
vjepa2_rep64,scene-0013,,0,0.02025086580596599,0.043994229581638206,40
vjepa2_rep64,scene-0014,,0,0.03311549279268391,0.05108699464979238,40
vjepa2_rep64,scene-0015,,0,0.025421966335397412,0.04000238158742322,40
vjepa2_rep64,scene-0016,,0,0.06083130023948904,0.06040968963622604,40
vjepa2_rep64,scene-0017,,0,0.05118947257151455,0.038959038483997774,40
vjepa2_rep64,scene-0018,,0,0.28027659067534033,0.07933336233294445,40
vjepa2_rep64,scene-0035,,0,0.019931964417555747,0.05140991408459833,40
vjepa2_rep64,scene-0036,,0,0.015220452124776648,0.029752013873514633,40
vjepa2_rep64,scene-0038,,0,0.0501620045145899,0.0398560713379458,40
vjepa2_rep64,scene-0039,,0,0.013464814296863038,0.06934474129671826,40
vjepa2_rep64,scene-0092,,0,0.007082595829023414,0.025472851347868215,40
vjepa2_rep64,scene-0093,,0,0.0532470556925968,0.048242516152302274,39
vjepa2_rep64,scene-0094,,0,0.0071717406196559474,0.030525151618305112,40
vjepa2_rep64,scene-0095,,0,0.06254965727376492,0.020855560010088255,39
vjepa2_rep64,scene-0096,,0,0.012903407882884702,0.05916827112393075,39
vjepa2_rep64,scene-0097,,0,0.028546844344023607,0.040155089933707554,39
vjepa2_rep64,scene-0098,,0,0.006832108533840297,0.03419507062125834,39
vjepa2_rep64,scene-0099,,0,0.059520747804874895,0.05460566710115899,39
vjepa2_rep64,scene-0100,,0,0.01343874741694163,0.013816999905347307,40
vjepa2_rep64,scene-0101,,0,0.0248347363707952,0.05534190152028288,40
vjepa2_rep64,scene-0102,,0,0.04332392588043074,0.04605999398002747,40
vjepa2_rep64,scene-0103,,0,0.019688288252242864,0.09236381573874446,40
vjepa2_rep64,scene-0104,,0,0.01838790148190632,0.055096666635292176,39
vjepa2_rep64,scene-0105,,0,0.015901154927357473,0.044437146490370956,39
vjepa2_rep64,scene-0106,,0,0.03896628186626176,0.042977930147529986,40
vjepa2_rep64,scene-0107,,0,0.022971364602010904,0.05120713776153741,40
vjepa2_rep64,scene-0108,,0,0.16872832513219024,0.0702240186278329,39
vjepa2_rep64,scene-0109,,0,0.051728516334716756,0.044826986459877594,40
vjepa2_rep64,scene-0110,,0,0.006456803947876355,0.02288183003770407,40
vjepa2_rep64,scene-0221,,0,0.12029736934816015,0.06497166882939216,39
vjepa2_rep64,scene-0268,,0,0.0590715298107796,0.04376403962482539,39
vjepa2_rep64,scene-0269,,0,0.06939365458578783,0.051282375117487865,40
vjepa2_rep64,scene-0270,,0,0.044803709979775154,0.0351490960376992,40
vjepa2_rep64,scene-0271,,0,0.04095137141736362,0.1030166359167828,39
vjepa2_rep64,scene-0272,,0,0.048455000275101544,0.051651552413406965,39
vjepa2_rep64,scene-0273,,0,0.03301773989530071,0.07119987603764781,39
vjepa2_rep64,scene-0274,,0,0.01891593498472183,0.06426830474173885,40
vjepa2_rep64,scene-0275,,0,0.06318642191793689,0.05447092074452522,40
vjepa2_rep64,scene-0276,,0,0.09131202585929499,0.08087818587333402,40
vjepa2_rep64,scene-0277,,0,0.015254211051805975,0.06404426904632876,40
vjepa2_rep64,scene-0278,,0,0.03589949726839759,0.10569883246900151,40
vjepa2_rep64,scene-0329,,0,0.15151815022460596,0.04931043074180937,39
vjepa2_rep64,scene-0330,,0,0.12029243802240826,0.05622228218243425,39
vjepa2_rep64,scene-0331,,0,0.5236101191027962,0.07237075131645272,39
vjepa2_rep64,scene-0332,,0,0.061263343370213684,0.05568775623495615,40
vjepa2_rep64,scene-0344,,0,0.016396973738550924,0.009598609767972206,40
vjepa2_rep64,scene-0345,,0,0.049689844111316106,0.060058207730977496,39
vjepa2_rep64,scene-0346,,0,0.06206907834933697,0.1223923306175047,40
vjepa2_rep64,scene-0519,,0,0.011855875045482517,0.05427046470777147,41
vjepa2_rep64,scene-0520,,0,0.007607742368593397,0.050621473817809216,41
vjepa2_rep64,scene-0521,,0,0.012262630909473625,0.05152137039131483,40
vjepa2_rep64,scene-0522,,0,0.011088320422219538,0.05156265925982916,40
vjepa2_rep64,scene-0523,,0,0.056958825394941355,0.05305020058887804,40
vjepa2_rep64,scene-0524,,0,0.014350649047160132,0.035809127578177495,41
vjepa2_rep64,scene-0552,,0,0.1280068042470073,0.08174884699019201,41
vjepa2_rep64,scene-0553,,0,0.031891113536274635,0.015382955960164015,41
vjepa2_rep64,scene-0554,,0,0.02435421239871793,0.010275599551308754,41
vjepa2_rep64,scene-0555,,0,0.02786514434344366,0.10099336003622976,40
vjepa2_rep64,scene-0556,,0,0.15821075776975327,0.06164597161603788,40
vjepa2_rep64,scene-0557,,0,0.08781509827712614,0.046852131621009235,40
vjepa2_rep64,scene-0558,,0,0.12019406759632194,0.03676177399072824,41
vjepa2_rep64,scene-0559,,0,0.013731316138118357,0.06165698758669594,41
vjepa2_rep64,scene-0560,,0,0.11785858251740478,0.048726171117639994,40
vjepa2_rep64,scene-0561,,0,0.11130390539250402,0.030818404130327284,40
vjepa2_rep64,scene-0562,,0,0.015257040904976699,0.044288767838718324,40
vjepa2_rep64,scene-0563,,0,0.10607038127265363,0.05060573964533527,40
vjepa2_rep64,scene-0564,,0,0.08722537930205358,0.0639022424610426,40
vjepa2_rep64,scene-0565,,0,0.04787460051748582,0.04126544740041746,40
vjepa2_rep64,scene-0625,,0,0.047214725024847574,0.03423211012631846,40
vjepa2_rep64,scene-0626,,0,0.04397512118772068,0.06742825960525421,40
vjepa2_rep64,scene-0627,,0,0.04270896126696359,0.04426807662414379,41
vjepa2_rep64,scene-0629,,0,0.058135049107130576,0.09213498485848175,40
vjepa2_rep64,scene-0630,,0,0.022684435091802912,0.08652910194310047,41
vjepa2_rep64,scene-0632,,0,0.1106623288993243,0.04808309824667306,40
vjepa2_rep64,scene-0633,,0,0.00764068434715011,0.06114971626490138,40
vjepa2_rep64,scene-0634,,0,0.06801137869173234,0.07615851262352956,40
vjepa2_rep64,scene-0635,,0,0.025079654493464013,0.024280664854061693,40
vjepa2_rep64,scene-0636,,0,0.08250277936067461,0.06291494269920163,40
vjepa2_rep64,scene-0637,,0,0.010021864369104712,0.036246549807017005,40
vjepa2_rep64,scene-0638,,0,0.08427854067142032,0.054627068727144096,41
vjepa2_rep64,scene-0770,,0,0.02323029495616821,0.021746717862262715,40
vjepa2_rep64,scene-0771,,0,0.025432789116107565,0.030841176081322436,41
vjepa2_rep64,scene-0775,,0,0.02100729588687872,0.030790074140627482,41
vjepa2_rep64,scene-0777,,0,0.02568672895854253,0.033541241061626946,40
vjepa2_rep64,scene-0778,,0,0.5224154124981072,0.09134391116366349,40
vjepa2_rep64,scene-0780,,0,0.027908801051291402,0.019296484750743165,41
vjepa2_rep64,scene-0781,,0,0.02432314027205622,0.013055406443558418,40
vjepa2_rep64,scene-0782,,0,0.02275381845813736,0.06693302774068505,41
vjepa2_rep64,scene-0783,,0,0.0258308492193656,0.09214112703401213,41
vjepa2_rep64,scene-0784,,0,0.0418002288753038,0.02343994165763477,41
vjepa2_rep64,scene-0794,,0,0.051658156066450106,0.052419319036512334,40
vjepa2_rep64,scene-0795,,0,0.013576904920183588,0.045736211319747776,40
vjepa2_rep64,scene-0796,,0,0.007591708871780479,0.03187645362202914,40
vjepa2_rep64,scene-0797,,0,0.023194918672477086,0.08477660075096936,40
vjepa2_rep64,scene-0798,,0,0.016570345655127963,0.050398104522922114,40
vjepa2_rep64,scene-0799,,0,0.00787062792176495,0.032902562479853376,40
vjepa2_rep64,scene-0800,,0,0.01562675708601911,0.04103924378220128,40
vjepa2_rep64,scene-0802,,0,0.009614394188050974,0.024225632368086395,41
vjepa2_rep64,scene-0904,,0,0.02164349421532658,0.03275342860110842,41
vjepa2_rep64,scene-0905,,0,0.01595707436363009,0.031179229769252245,40
vjepa2_rep64,scene-0906,,0,0.04298958164945744,0.03875513718555154,41
vjepa2_rep64,scene-0907,,0,0.09767185307634797,0.04905578564893861,40
vjepa2_rep64,scene-0908,,0,0.017574060060956333,0.05672994862112402,41
vjepa2_rep64,scene-0909,,0,0.011983805226523333,0.059642088280402315,40
vjepa2_rep64,scene-0910,,0,0.012112323410644861,0.039084183679653245,40
vjepa2_rep64,scene-0911,,0,0.01162634787554564,0.024524305605245534,40
vjepa2_rep64,scene-0912,,0,0.014985400899356868,0.025191208048578148,40
vjepa2_rep64,scene-0913,,0,0.0065903460119421725,0.02974425766890339,40
vjepa2_rep64,scene-0914,,0,0.09618783832995402,0.047636126997083784,41
vjepa2_rep64,scene-0915,,0,0.12404777717477815,0.0552710261865122,41
vjepa2_rep64,scene-0916,,0,0.13221771814215685,0.06637148224926341,41
vjepa2_rep64,scene-0917,,0,0.09302098220661627,0.07651677257472565,41
vjepa2_rep64,scene-0919,,0,0.09880048887971588,0.04366626048702632,41
vjepa2_rep64,scene-0920,,0,0.08631253448463401,0.0973474939496815,41
vjepa2_rep64,scene-0921,,0,0.0720483929065182,0.058200950373896304,41
vjepa2_rep64,scene-0922,,0,0.016152909038437892,0.045994437476429846,41
vjepa2_rep64,scene-0923,,0,0.010017827152196101,0.03980267569643727,40
vjepa2_rep64,scene-0924,,0,0.027638696853912317,0.06042716731347852,40
vjepa2_rep64,scene-0925,,0,0.029460787869252342,0.06929817905488582,40
vjepa2_rep64,scene-0926,,0,0.11323274087862668,0.06398875254876453,41
vjepa2_rep64,scene-0927,,0,0.011506855453218204,0.05092150179359537,40
vjepa2_rep64,scene-0928,,0,0.10503256997413378,0.06509645977103197,40
vjepa2_rep64,scene-0929,,0,0.034886290303686174,0.05577350717369204,40
vjepa2_rep64,scene-0930,,0,0.02845039651105531,0.04821815358921571,40
vjepa2_rep64,scene-0931,,0,0.13794690776667096,0.06815492096279695,40
vjepa2_rep64,scene-0962,,0,0.06832598971798175,0.04485427794750294,41
vjepa2_rep64,scene-0963,,0,0.035468246744106834,0.050137812181649866,40
vjepa2_rep64,scene-0966,,0,0.11032438005860017,0.07508713003171245,41
vjepa2_rep64,scene-0967,,0,0.028760662840762712,0.06369440813823844,41
vjepa2_rep64,scene-0968,,0,0.12322088359295609,0.058377335248414174,41
vjepa2_rep64,scene-0969,,0,0.12714463203899645,0.04770294870056552,40
vjepa2_rep64,scene-0971,,0,0.09197101514922175,0.04873202739569773,40
vjepa2_rep64,scene-0972,,0,0.04301108954396791,0.04070191493500531,41
vjepa2_rep64,scene-1059,,0,0.21339867421493355,0.1220297128791442,40
vjepa2_rep64,scene-1060,,0,0.06445494381053374,0.08263568137576209,40
vjepa2_rep64,scene-1061,,0,0.0459931615593742,0.07956188622964028,41
vjepa2_rep64,scene-1062,,0,0.0764808502534783,0.07936834210363229,40
vjepa2_rep64,scene-1063,,0,0.022422761173563437,0.14937164767400027,40
vjepa2_rep64,scene-1064,,0,0.19225079163603867,0.12328760505687114,40
vjepa2_rep64,scene-1065,,0,0.020044666788737526,0.07214073154238106,40
vjepa2_rep64,scene-1066,,0,0.015974321612228195,0.06689981413130476,40
vjepa2_rep64,scene-1067,,0,0.02953034457037763,0.07641562754207447,40
vjepa2_rep64,scene-1068,,0,0.05261265850377267,0.05807645115636831,40
vjepa2_rep64,scene-1069,,0,0.1242910662683704,0.06541366746447531,40
vjepa2_rep64,scene-1070,,0,0.011554569058373848,0.04903802427062794,41
vjepa2_rep64,scene-1071,,0,0.014454747591797526,0.05510677957282334,40
vjepa2_rep64,scene-1072,,0,0.01258816457625792,0.038777529124309935,40
vjepa2_rep64,scene-1073,,0,0.05505331174590845,0.077647871101316,40
