encoder,scene_name,scenario,fold_id,steer_rmse,accel_rmse,n
clip_b32,scene-0003,,0,0.0784496726303152,0.08279981627670772,40
clip_b32,scene-0012,,0,0.0597129119781478,0.05380984725428222,40
clip_b32,scene-0013,,0,0.04317194271484209,0.05400491587018603,40
clip_b32,scene-0014,,0,0.062105517506647674,0.07027874952354653,40
clip_b32,scene-0015,,0,0.05006668479236692,0.052885325740118054,40
clip_b32,scene-0016,,0,0.10481018690155097,0.05324745722121527,40
clip_b32,scene-0017,,0,0.08193874563028848,0.06513582844390535,40
clip_b32,scene-0018,,0,0.5848339451667587,0.06604377854746761,40
clip_b32,scene-0035,,0,0.04531874626419285,0.04912218575248608,40
clip_b32,scene-0036,,0,0.12714265459411958,0.04931007834503409,40
clip_b32,scene-0038,,0,0.1311853996913475,0.05908523748702701,40
clip_b32,scene-0039,,0,0.05976657021968077,0.07153244920049308,40
clip_b32,scene-0092,,0,0.02122196545365701,0.030387787197210137,40
clip_b32,scene-0093,,0,0.13750702571598394,0.04963872450132891,39
clip_b32,scene-0094,,0,0.01708011951376857,0.044091166581034374,40
clip_b32,scene-0095,,0,0.016518202525381515,0.05478514459794228,39
clip_b32,scene-0096,,0,0.02372795748803638,0.08600707887899244,39
clip_b32,scene-0097,,0,0.03047283807961751,0.05699049706372145,39
clip_b32,scene-0098,,0,0.016021826108051977,0.040893759889285286,39
clip_b32,scene-0099,,0,0.11089061073751798,0.057987013065144956,39
clip_b32,scene-0100,,0,0.03133201580042856,0.08580609435040237,40
clip_b32,scene-0101,,0,0.03571954435089054,0.059207691179793596,40
clip_b32,scene-0102,,0,0.07720738082509478,0.053846763404085896,40
clip_b32,scene-0103,,0,0.023877637638480827,0.11288638097140098,40
clip_b32,scene-0104,,0,0.04949958152868114,0.07168512917575143,39
clip_b32,scene-0105,,0,0.055215504193018905,0.046158191599122884,39
clip_b32,scene-0106,,0,0.05481278531397396,0.05582863475337549,40
clip_b32,scene-0107,,0,0.06771806107511598,0.06257660883070902,40
clip_b32,scene-0108,,0,0.2315398411480838,0.07063244868588968,39
clip_b32,scene-0109,,0,0.13221245657687897,0.051069826950518794,40
