encoder,cv_folds,seeds,test_steer_rmse_mean,test_steer_rmse_std,test_accel_rmse_mean,test_accel_rmse_std,val_steer_rmse_mean,val_accel_rmse_mean,num_scene_test_observations
vit_s16,5,3,0.14189990858236948,0.004100694234811294,0.08465706060330074,0.0029236568141641703,0.14817829926808676,0.07663477708896001,1606
clip_b32,5,3,0.13803587357203165,0.003660404221766905,0.07237422962983449,0.0009910273322169356,0.1453834424416224,0.06716857850551605,1606
dino_vits14,5,3,0.13228180507818857,0.0018997700352148086,0.0812450647354126,0.0030778499550967136,0.13290917376677194,0.07021657874186833,1606
vjepa2_rep64,5,3,0.12137098362048467,0.0033713373443465654,0.06974274168411891,0.0005748370394353963,0.1294834166765213,0.061492182314395905,1606
vq_track,5,3,0.1313996215661367,0.0007974178236310939,0.07289442668358485,0.001116368530829073,0.13482103745142618,0.06422928969065349,1606
vjepa2_rep1,5,3,0.1209998403986295,0.005600225430570678,0.06948464860518773,0.000797590457728259,0.12872195740540823,0.06126119817296664,1606
