encoder,fold_id,num_test_frames,test_steer_rmse_mean_seedavg,test_accel_rmse_mean_seedavg
vit_s16,0,586,0.13345326483249664,0.07884026318788528
clip_b32,0,586,0.132949098944664,0.07307374477386475
dino_vits14,0,586,0.1305837780237198,0.07723692059516907
vjepa2_rep64,0,586,0.1307595819234848,0.07394389063119888
vq_track,0,586,0.1305837780237198,0.07723692059516907
vjepa2_rep1,0,586,0.13096709549427032,0.07337312400341034
