encoder,scene_name,scenario,fold_id,steer_rmse,accel_rmse,n
vit_s16,scene-0003,urban,0,0.06580938638554024,0.09096046060068208,40
vit_s16,scene-0013,urban,0,0.06915965810181919,0.05790956740383351,40
vit_s16,scene-0017,urban,0,0.08236747867185988,0.08500105666873074,40
vit_s16,scene-0092,urban,0,0.04222118362489258,0.038365533201995164,40
vit_s16,scene-0096,urban,0,0.03715131337397187,0.08406342949722304,39
vit_s16,scene-0098,urban,0,0.01798887804187903,0.034124397019625066,39
vit_s16,scene-0103,urban,0,0.039521004712429295,0.12445096171747663,40
vit_s16,scene-0106,urban,0,0.042004511105187894,0.05762474250223439,40
vit_s16,scene-0107,urban,0,0.03731674159090574,0.057214645230298476,40
vit_s16,scene-0110,urban,0,0.03769990944476699,0.025379988198818294,40
vit_s16,scene-0269,urban,0,0.20309046444761772,0.061158718268133995,40
vit_s16,scene-0271,urban,0,0.11489239413735826,0.08080968888767767,39
vit_s16,scene-0273,urban,0,0.06786415590931325,0.08105098661341226,39
vit_s16,scene-0276,urban,0,0.11350181992941759,0.08747710549836267,40
vit_s16,scene-0346,urban,0,0.07499064631344854,0.09687802980925374,40
vit_s16,scene-0521,urban,0,0.03242571289400154,0.05618548171299983,40
vit_s16,scene-0556,urban,0,0.30891190766492527,0.06563943649030396,40
vit_s16,scene-0561,urban,0,0.18040917928564243,0.045426839495041525,40
vit_s16,scene-0635,urban,0,0.059587386828677764,0.04550563503256369,40
vit_s16,scene-0638,urban,0,0.228488561559286,0.07050957062684103,41
vit_s16,scene-0770,urban,0,0.03232836140125207,0.03535294684614925,40
vit_s16,scene-0771,urban,0,0.02848230756106627,0.034584664460044046,41
vit_s16,scene-0777,urban,0,0.013816037572344604,0.03623730949774778,40
vit_s16,scene-0796,urban,0,0.03719575618905427,0.051770562005841535,40
vit_s16,scene-0904,urban,0,0.038900234897585574,0.043964692427659706,41
vit_s16,scene-0905,urban,0,0.03644134380255864,0.03379240995715828,40
vit_s16,scene-0906,urban,0,0.07292658744644467,0.06196604880937325,41
vit_s16,scene-0913,urban,0,0.028395790698458365,0.05059092215942211,40
vit_s16,scene-0914,urban,0,0.16392880096047774,0.05417152380324888,41
vit_s16,scene-0919,urban,0,0.31773372074639233,0.08946138959980163,41
vit_s16,scene-0920,urban,0,0.2675075661474169,0.10903407911579055,41
vit_s16,scene-0921,urban,0,0.2534692832578156,0.10473094768091701,41
vit_s16,scene-0929,urban,0,0.10802907803444765,0.08795718757440742,40
vit_s16,scene-0972,urban,0,0.08366348885498044,0.05361094688494561,41
vit_s16,scene-1059,urban,0,0.265951039337785,0.12403621510191132,40
vit_s16,scene-1060,urban,0,0.15752297634057622,0.07776804428130211,40
vit_s16,scene-1061,urban,0,0.10919816122896159,0.13694080681856605,41
vit_s16,scene-1063,urban,0,0.07111067770794645,0.13565683582244217,40
vit_s16,scene-1067,urban,0,0.08644003987233069,0.09980705641658562,40
vit_s16,scene-1071,urban,0,0.05200622975295384,0.0615120075575215,40
clip_b32,scene-0003,urban,0,0.11176643868671346,0.07817553136476234,40
clip_b32,scene-0013,urban,0,0.04432461821185329,0.048005681652364955,40
clip_b32,scene-0017,urban,0,0.08028274928190073,0.059225211899245456,40
clip_b32,scene-0092,urban,0,0.03150592835546498,0.02903944024551068,40
clip_b32,scene-0096,urban,0,0.032280475755128143,0.08492434839479765,39
clip_b32,scene-0098,urban,0,0.030108833821582106,0.030147457710070328,39
clip_b32,scene-0103,urban,0,0.024481318890622192,0.11981196659416386,40
clip_b32,scene-0106,urban,0,0.06080841385289112,0.050158763714175714,40
