encoder,cv_folds,seeds,test_steer_rmse_mean,test_steer_rmse_std,test_accel_rmse_mean,test_accel_rmse_std,val_steer_rmse_mean,val_accel_rmse_mean,num_scene_test_observations
vit_s16,5,3,0.1431684742371241,0.0046869388002258,0.089903342227141,0.0058569044721593,0.157105341553688,0.0835206781824429,586
clip_b32,5,3,0.1358846426010131,0.0006791649353783,0.0746357465783755,0.0005653120584313,0.1452660312255223,0.0679059773683548,586
dino_vits14,5,3,0.1423336565494537,0.0063366157004441,0.0879900480310122,0.0056690156174687,0.1539100507895151,0.0753917048374811,586
vjepa2_rep64,5,3,0.1317290514707565,0.0004309964873585,0.0743829583128293,0.0009646325802132,0.1401802947123845,0.0634003976980845,586
vq_track,5,3,0.1423336565494537,0.0063366157004441,0.0879900480310122,0.0056690156174687,0.1539100507895151,0.0753917048374811,586
