encoder,steer_rmse_scene_mean,steer_ci95_lo,steer_ci95_hi,accel_rmse_scene_mean,accel_ci95_lo,accel_ci95_hi,num_scenes
vit_s16,0.10201124439584475,0.07666540282671679,0.12973939740749907,0.07071707178240859,0.061856524002422975,0.07996062971959376,40
clip_b32,0.10066352846880906,0.07483427176200368,0.1279596471910667,0.06342684481847868,0.05419006087484242,0.07293834838891253,40
dino_vits14,0.09078738808877702,0.06660345205893506,0.11880920311830873,0.067327278908767,0.05834821000444835,0.07671451006890144,40
vjepa2_rep64,0.08102513480727318,0.057311072209276864,0.10850852719930813,0.05967684353420799,0.0500094559420704,0.06970349843510322,40
vq_track,0.09451265136832529,0.06767591635433452,0.12419728212177064,0.06416907110983466,0.05445922055640353,0.07452298163541816,40
