encoder,steer_rmse_scene_mean,steer_ci95_lo,steer_ci95_hi,accel_rmse_scene_mean,accel_ci95_lo,accel_ci95_hi,num_scenes
clip_b32,0.11746298606341625,0.09920936400758275,0.13668051942096515,0.06743615124305867,0.0633757931772035,0.07151039264828987,150
dino_vits14,0.10419111783666286,0.08750159615718829,0.123671990933499,0.07196844392652697,0.06811817993968207,0.07594419332894868,150
vit_s16,0.1206800409387993,0.10286551903541431,0.14057832444032287,0.0711194773097809,0.06689244190611275,0.07557569084995157,150
vjepa2_rep1,0.0974282536505648,0.07998647178459543,0.11795893790556451,0.058848225229013805,0.05479450986345357,0.06304633463199633,150
vjepa2_rep64,0.05792361575188643,0.047521441556118954,0.0703004200041971,0.05450995525260101,0.051187274147353544,0.058234466332924964,150
vq_track,0.12602716667516653,0.10733872303503075,0.1480263659661224,0.06266271322212091,0.05822515339060328,0.06729369629892748,150
